media_x_x;media_y_x;cov_xx_x;cov_xy_x;cov_yy_x;peso_x;media_x_y;media_y_y;cov_xx_y;cov_xy_y;cov_yy_y;peso_y;media_x_z;media_y_z;cov_xx_z;cov_xy_z;cov_yy_z;peso_z;nombre_terreno
1,46449E+14;6,55424E+12;3,86535E+16;-2,18145E+14;13122656680;8,31274E+15;1,4541E+16;4,14011E+12;7,49581E+15;4,61609E+13;823435813,8;8,89711E+14;6,11617E+15;1,53455E+13;1,32913E+16;1,7607E+14;2385191222;4,56901E+15;pav
9,60729E+15;1,03237E+14;2,78333E+15;2,3657E+14;49399051431;5,39656E+13;7,08143E+15;9,92338E+11;1,03318E+16;-6,94348E+11;1438537951;3,68537E+15;8,66952E+15;6,34621E+13;2,81944E+15;-4,23632E+13;1,00572E+11;2,25128E+14;pav
1,596E+16;5,06318E+12;3,07891E+15;-1,51652E+14;12169285719;7,2132E+15;1,79955E+16;5,21607E+13;8,30275E+15;-9,45149E+13;8900407025;9,25319E+14;5,08448E+15;2,31716E+13;6,17795E+15;1,34911E+14;3931839466;2,53614E+15;pav
5,39838E+16;2,90247E+13;3,78107E+15;-1,93476E+13;3841211193;1,67761E+15;1,39409E+15;6,36343E+12;4,28067E+15;-1,95246E+14;12710785217;8,91972E+15;1,6138E+15;1,08303E+13;3,10122E+16;-2,47534E+14;16130900897;6,99114E+15;pav
1,70748E+16;6,73595E+13;1,11286E+16;1,31196E+14;1,62721E+11;1,10919E+15;3,81442E+15;1,82206E+14;4,59857E+15;-4,6456E+13;1,62431E+12;1,54961E+14;7,51729E+15;6,55558E+13;2,31354E+16;-1,29292E+14;1,98205E+11;4,72725E+14;pav
3,03285E+16;5,2143E+13;1,36389E+14;-1,70047E+14;8379597809;1,15231E+15;1,47269E+16;4,03571E+13;8,33259E+15;-6,38061E+13;9180386190;9,10618E+14;1,60597E+16;1,64583E+14;8,98937E+15;-8,30988E+13;3,69652E+12;1,08112E+14;pav
1,45471E+15;7,20118E+12;3,91589E+15;-2,47463E+14;1399917543;8,40356E+14;6,95418E+15;1,17618E+13;9,66275E+15;2,37306E+13;16817648818;3,514E+15;1,83833E+16;1,35006E+13;1,71658E+16;-2,12838E+14;18562055106;5,29344E+15;pav
7,99859E+15;8,49665E+13;2,11717E+15;1,59044E+14;35210809605;4,44124E+14;1,79932E+15;6,30708E+12;1,94188E+14;-1,24372E+14;12705918053;5,57538E+15;6,25625E+15;2,47322E+13;1,30943E+16;4,19617E+14;547547223,4;4,59845E+14;pav
5,97022E+15;7,94506E+13;4,40691E+15;-5,98155E+14;19748214812;1,83854E+15;1,57982E+15;1,19209E+13;3,15178E+15;-2,92854E+14;17220045249;7,35879E+15;5,43852E+15;6,51304E+13;9,84965E+14;-6,41599E+12;1059219377;2,96377E+15;pisadasvaca
1,81156E+15;3,67252E+14;1,15181E+16;-1,85089E+14;3,93545E+12;1,25344E+15;1,54064E+16;1,93164E+14;8,83982E+14;-2,46824E+14;1,14623E+11;1,02527E+15;3,4601E+15;1,5123E+14;7,94697E+15;-4,15199E+14;49742544563;7,34034E+14;pisadasvaca
1,63388E+16;1,60841E+13;2,85551E+15;-3,49088E+14;22121828740;6,90802E+15;5,12424E+15;4,77117E+13;3,86699E+15;-2,90587E+14;7559033235;1,61595E+15;1,70508E+16;1,97061E+13;2,48926E+16;-3,72103E+14;26570353669;6,3022E+15;pisadasvaca
1,63653E+16;1,82569E+13;2,86531E+14;-3,44821E+14;2393631181;6,88404E+15;4,70236E+15;6,03541E+13;4,00477E+15;-3,86733E+13;10732753120;1,66899E+15;2,95293E+15;1,46188E+14;7,07234E+15;-5,16405E+14;63884198913;6,89104E+14;pisadasvaca
1,83717E+15;3,99518E+14;1,14337E+16;-3,3641E+14;4,39155E+12;1,25305E+15;1,48312E+16;2,1226E+14;8,17306E+14;-3,44186E+14;1,36299E+12;8,58142E+14;1,77276E+16;2,25074E+13;2,12616E+15;-3,92501E+14;31867150412;5,75589E+15;pisadasvaca
6,01558E+15;8,4867E+13;4,46144E+15;-6,08548E+14;2,12048E+11;1,86291E+15;1,56629E+16;1,28543E+13;3,24993E+16;-3,20765E+14;1841373537;7,47287E+15;6,21518E+14;5,91176E+13;1,20579E+16;-3,15295E+13;1,03036E+11;3,55501E+15;pisadasvaca
1,52618E+16;2,14329E+13;2,26452E+15;-3,10965E+14;27591791335;6,70981E+14;1,47492E+16;1,57666E+13;2,55865E+12;-3,79027E+14;2337858652;7,14685E+15;8,06453E+15;1,90493E+14;2,12071E+16;-1,53114E+14;84051763195;4,883E+13;pisadasvaca
1,69258E+15;5,01853E+14;1,03374E+16;-6,24424E+12;8,37644E+12;1,29169E+15;4,89971E+15;7,53548E+13;4,16157E+16;-5,25647E+14;1,69011E+11;1,78894E+15;1,61734E+16;2,44384E+13;1,87136E+16;-4,06695E+14;3441677236;5,84492E+15;pisadasvaca
5,67768E+15;1,10146E+14;3,90774E+15;-8,06061E+14;38284949634;1,99849E+15;1,65442E+16;2,47838E+14;1,10458E+16;-5,2072E+14;1,9521E+12;1,06421E+14;5,72996E+15;6,79905E+13;8,99168E+15;-1,55624E+14;1,39781E+11;3,66678E+15;pisadasvaca
6,18755E+16;8,31866E+12;4,15943E+15;-5,47365E+13;19907158733;1,92508E+15;1,57057E+16;2,20737E+14;9,06593E+15;-4,36399E+14;1,60081E+12;9,4957E+14;3,26584E+14;1,59903E+14;6,69333E+15;-6,17782E+14;71824682835;8,6255E+13;pisadasvaca
1,81121E+15;4,054E+14;1,11665E+16;-2,37795E+14;5,05549E+12;1,28588E+15;1,57123E+15;1,37753E+13;3,2489E+14;-3,74177E+14;20161613804;7,43862E+15;6,25527E+16;6,94719E+13;1,19881E+16;-1,97631E+14;12255748829;3,36689E+15;pisadasvaca
1,65087E+15;1,66962E+12;2,7955E+15;-3,33042E+14;22325300492;6,78904E+15;4,93244E+16;6,07406E+13;4,29742E+15;-4,0887E+14;1,12479E+11;1,61182E+15;1,77524E+16;1,97345E+12;2,11021E+16;-3,48825E+14;27538402662;5,77056E+15;pisadasvaca
1,52797E+16;6,05879E+12;3,41431E+16;-1,75235E+14;12564343041;7,81716E+15;1,40091E+16;6,84747E+12;4,25966E+15;-2,81151E+14;13876013064;8,85311E+15;4,18592E+15;2,92982E+13;5,19944E+15;1,97328E+13;344259194,9;2,31067E+15;ripi
4,54571E+15;4,27274E+13;1,55246E+16;-2,28603E+14;7663887346;1,06874E+15;1,90633E+16;1,19872E+14;1,01436E+16;-1,19031E+14;24611144127;1,55737E+14;1,56237E+16;1,19593E+12;3,35743E+15;-3,39405E+14;17974095835;7,44395E+15;ripi
1,60124E+16;1,15258E+14;9,11211E+15;2,20805E+14;39520669690;1,1141E+15;1,78096E+16;4,82587E+13;1,15227E+16;-7,18165E+13;6070464479;9,91156E+14;4,53052E+16;7,82487E+13;9,17589E+15;-7,62067E+13;4,06815E+11;2,45382E+14;ripi
1,78174E+16;1,37996E+13;1,11612E+16;2,86627E+14;6203651207;1,25767E+15;3,55788E+16;2,16486E+14;5,1141E+15;-8,92673E+12;2,57992E+12;1,04023E+14;8,00625E+15;6,50208E+13;2,48204E+15;-1,05648E+14;1,8315E+11;4,94218E+14;ripi
