x,y,interior ,borde,model.k,model.G,model.c,BN,BS,Be,Bo,columna_DIR1,columna_DIR2,columna_NEU1,columna_NEU2,columna_ROB1,columna_ROB2,PHI_temp,Q_tempx,Q_tempy
0.3333333333333333,0.3333333333333333,1,0,5,30,1,0,0,0,0,0,0,0,0,0,0,1.548874639494264,-18.43347535879586,3.33066907387547e-15
0.3333333333333333,0.5,1,0,5,30,1,0,0,0,0,0,0,0,0,0,0,1.548874639494263,-18.43347535879586,3.33066907387547e-15
0.3333333333333333,0.6666666666666666,1,0,5,30,1,0,0,0,0,0,0,0,0,0,0,1.548874639494263,-18.43347535879586,3.33066907387547e-15
0.3333333333333333,0.8333333333333333,1,0,5,30,1,0,0,0,0,0,0,0,0,0,0,1.548874639494263,-18.43347535879585,9.992007221626407e-15
0.3333333333333333,1,0,1,5,30,1,0,0,1,0,0,0,1,0,0,0,1.548874639494263,-18.43347535879585,1.332267629550187e-14
0.5,0,0,1,5,30,1,1,0,0,0,0,0,1,0,0,0,2.08429291434161,-13.73623932161552,-1.332267629550188e-14
0.5,0.1666666666666667,1,0,5,30,1,0,0,0,0,0,0,0,0,0,0,2.08429291434161,-13.73623932161552,0
0.5,0.3333333333333333,1,0,5,30,1,0,0,0,0,0,0,0,0,0,0,2.08429291434161,-13.73623932161551,0
0.5,0.5,1,0,5,30,1,0,0,0,0,0,0,0,0,0,0,2.08429291434161,-13.73623932161551,0
0.5,0.6666666666666666,1,0,5,30,1,0,0,0,0,0,0,0,0,0,0,2.08429291434161,-13.73623932161551,1.998401444325282e-14
0.5,0.8333333333333333,1,0,5,30,1,0,0,0,0,0,0,0,0,0,0,2.084292914341609,-13.7362393216155,1.998401444325281e-14
0.5,1,0,1,5,30,1,0,0,1,0,0,0,1,0,0,0,2.084292914341608,-13.7362393216155,1.332267629550187e-14
0.6666666666666666,0,0,1,5,30,1,1,0,0,0,0,0,1,0,0,0,2.464623927601965,-9.115315725110793,-1.332267629550188e-14
0.6666666666666666,0.1666666666666667,1,0,5,30,1,0,0,0,0,0,0,0,0,0,0,2.464623927601965,-9.115315725110786,6.661338147750939e-15
0.6666666666666666,0.3333333333333333,1,0,5,30,1,0,0,0,0,0,0,0,0,0,0,2.464623927601964,-9.115315725110799,1.998401444325282e-14
0.6666666666666666,0.5,1,0,5,30,1,0,0,0,0,0,0,0,0,0,0,2.464623927601964,-9.115315725110793,6.661338147750939e-15
0.6666666666666666,0.6666666666666666,1,0,5,30,1,0,0,0,0,0,0,0,0,0,0,2.464623927601964,-9.115315725110793,6.661338147750941e-15
0.6666666666666666,0.8333333333333333,1,0,5,30,1,0,0,0,0,0,0,0,0,0,0,2.464623927601963,-9.115315725110793,1.332267629550188e-14
0.6666666666666666,1,0,1,5,30,1,0,0,1,0,0,0,1,0,0,0,2.464623927601963,-9.115315725110799,1.332267629550187e-14
0.8333333333333333,0,0,1,5,30,1,1,0,0,0,0,0,1,0,0,0,2.691980629348996,-4.545032771523367,0
0.8333333333333333,0.1666666666666667,1,0,5,30,1,0,0,0,0,0,0,0,0,0,0,2.691980629348996,-4.545032771523367,-6.661338147750939e-15
0.8333333333333333,0.3333333333333333,1,0,5,30,1,0,0,0,0,0,0,0,0,0,0,2.691980629348996,-4.54503277152338,-6.661338147750941e-15
0.8333333333333333,0.5,1,0,5,30,1,0,0,0,0,0,0,0,0,0,0,2.691980629348996,-4.545032771523394,6.661338147750939e-15
0.8333333333333333,0.6666666666666666,1,0,5,30,1,0,0,0,0,0,0,0,0,0,0,2.691980629348996,-4.545032771523386,1.998401444325282e-14
0.8333333333333333,0.8333333333333333,1,0,5,30,1,0,0,0,0,0,0,0,0,0,0,2.691980629348995,-4.545032771523386,1.332267629550188e-14
0.8333333333333333,1,0,1,5,30,1,0,0,1,0,0,0,1,0,0,0,2.691980629348995,-4.545032771523394,0
1,0,0,1,5,30,1,1,1,0,0,0,0,1,0,0,0,2.767626112370189,-2.269364490635803,-1.332267629550188e-14
1,0.1666666666666667,0,1,5,30,1,0,1,0,0,0,0,1,0,0,0,2.76762611237019,-2.269364490635816,-6.661338147750939e-15
1,0.3333333333333333,0,1,5,30,1,0,1,0,0,0,0,1,0,0,0,2.76762611237019,-2.269364490635803,-6.661338147750941e-15
