Freq_adel,PSD_adel,Filename_adel,Freq_atr,PSD_atr,Filename_atr
141.8848536,3.05E-06,arepas_circulo,139.8031759,1.86E-06,arepas_circulo
145.8260996,2.66E-06,arepas_circulo,143.6865975,2.12E-06,arepas_circulo
149.7673455,2.82E-06,arepas_circulo,147.570019,2.54E-06,arepas_circulo
153.7085914,2.49E-06,arepas_circulo,151.4534406,2.79E-06,arepas_circulo
157.6498374,2.04E-06,arepas_circulo,155.3368621,2.94E-06,arepas_circulo
161.5910833,1.85E-06,arepas_circulo,159.2202837,2.86E-06,arepas_circulo
165.5323292,2.10E-06,arepas_circulo,163.1037052,2.67E-06,arepas_circulo
169.4735752,1.60E-06,arepas_circulo,166.9871268,2.80E-06,arepas_circulo
173.4148211,1.48E-06,arepas_circulo,170.8705483,3.11E-06,arepas_circulo
177.3560671,1.17E-06,arepas_circulo,174.7539699,3.05E-06,arepas_circulo
181.297313,1.34E-06,arepas_circulo,178.6373915,3.40E-06,arepas_circulo
185.2385589,1.02E-06,arepas_circulo,182.520813,4.49E-06,arepas_circulo
189.1798049,1.19E-06,arepas_circulo,186.4042346,5.76E-06,arepas_circulo
193.1210508,1.09E-06,arepas_circulo,190.2876561,5.58E-06,arepas_circulo
197.0622967,1.20E-06,arepas_circulo,194.1710777,5.68E-06,arepas_circulo
201.0035427,1.05E-06,arepas_circulo,198.0544992,4.21E-06,arepas_circulo
204.9447886,1.07E-06,arepas_circulo,201.9379208,3.68E-06,arepas_circulo
208.8860345,1.25E-06,arepas_circulo,205.8213423,3.38E-06,arepas_circulo
212.8272805,1.39E-06,arepas_circulo,209.7047639,2.40E-06,arepas_circulo
216.7685264,1.91E-06,arepas_circulo,213.5881854,1.76E-06,arepas_circulo
220.7097723,1.60E-06,arepas_circulo,217.471607,1.47E-06,arepas_circulo
224.6510183,1.13E-06,arepas_circulo,221.3550285,1.10E-06,arepas_circulo
228.5922642,1.20E-06,arepas_circulo,225.2384501,1.06E-06,arepas_circulo
232.5335101,1.19E-06,arepas_circulo,229.1218716,7.73E-07,arepas_circulo
236.4747561,1.21E-06,arepas_circulo,233.0052932,8.35E-07,arepas_circulo
240.416002,1.19E-06,arepas_circulo,236.8887148,7.88E-07,arepas_circulo
244.3572479,1.26E-06,arepas_circulo,240.7721363,8.85E-07,arepas_circulo
0,4.71E-20,arepas_circulo,0,2.06E-20,arepas_circulo
3.941245935,0.000660707,arepas_circulo,3.883421553,0.000369652,arepas_circulo
7.882491869,0.000529863,arepas_circulo,7.766843107,0.000301493,arepas_circulo
11.8237378,0.000240527,arepas_circulo,11.65026466,0.000332078,arepas_circulo
15.76498374,0.00013866,arepas_circulo,15.53368621,0.000290493,arepas_circulo
19.70622967,9.92E-05,arepas_circulo,19.41710777,0.00015101,arepas_circulo
23.64747561,0.000138723,arepas_circulo,23.30052932,6.87E-05,arepas_circulo
27.58872154,0.000125624,arepas_circulo,27.18395087,3.98E-05,arepas_circulo
